name,url,currentVersion,crownUpdateDate
ministryofjustice/laa-check-client-qualifies,https://github.com/ministryofjustice/laa-check-client-qualifies,5.4.0,2024-02-20T10:05:18Z
ministryofjustice/fb-components,https://github.com/ministryofjustice/fb-components,3.14.0,N/A
DFE-Digital/pre-ab-conversions,https://github.com/DFE-Digital/pre-ab-conversions,4.3.1,N/A
ministryofjustice/make-recall-decision-ui,https://github.com/ministryofjustice/make-recall-decision-ui,4.8.0,2024-04-08T16:55:50Z
department-for-transport-BODS/abods-frontend,https://github.com/department-for-transport-BODS/abods-frontend,4.5.0,N/A
DFE-Digital/early-years-foundation-recovery,https://github.com/DFE-Digital/early-years-foundation-recovery,4.8.0,2024-02-16T13:20:24Z
govuk-one-login/ipv-cri-uk-passport-front,https://github.com/govuk-one-login/ipv-cri-uk-passport-front,4.3.1,N/A
govuk-one-login/ipv-core-front,https://github.com/govuk-one-login/ipv-core-front,4.8.0,undefined
UKGovernmentBEIS/regulated-professions-register,https://github.com/UKGovernmentBEIS/regulated-professions-register,4.8.0,2024-02-06T08:44:55Z
ministryofjustice/moving-people-safely,https://github.com/ministryofjustice/moving-people-safely,2.5.1,N/A
hmrc/add-taxes-frontend,https://github.com/hmrc/add-taxes-frontend,3.12.0,N/A
hmcts/juror-public-frontend,https://github.com/hmcts/juror-public-frontend,3.14.0,N/A
Crown-Commercial-Service/conclave-ssso-ui,https://github.com/Crown-Commercial-Service/conclave-ssso-ui,3.13.1,N/A
uktrade/export-support,https://github.com/uktrade/export-support,3.15.0,2024-02-29T16:19:55Z
NeXt-Warning-System/get-flood-warnings,https://github.com/NeXt-Warning-System/get-flood-warnings,3.14.0,N/A
ministryofjustice/manage-key-workers,https://github.com/ministryofjustice/manage-key-workers,4.6.0,N/A
companieshouse/ch-account-ui,https://github.com/companieshouse/ch-account-ui,4.6.0,N/A
Crown-Commercial-Service/digitalmarketplace-buyer-frontend,https://github.com/Crown-Commercial-Service/digitalmarketplace-buyer-frontend,3.14.0,N/A
ministryofjustice/fala,https://github.com/ministryofjustice/fala,4.8.0,undefined
alphagov/document-download-frontend,https://github.com/alphagov/document-download-frontend,4.8.0,undefined
companieshouse/certificates.orders.web.ch.gov.uk,https://github.com/companieshouse/certificates.orders.web.ch.gov.uk,4.7.0,N/A
hmcts/ia-aip-frontend,https://github.com/hmcts/ia-aip-frontend,4.7.0,N/A
DEFRA/fws-app,https://github.com/DEFRA/fws-app,4.0.1,N/A
uktrade/data-hub-helpcentre,https://github.com/uktrade/data-hub-helpcentre,3.5.0,N/A
alphagov/govwifi-product-page,https://github.com/alphagov/govwifi-product-page,4.7.0,N/A
LandRegistry/govuk-react-components,https://github.com/LandRegistry/govuk-react-components,3.1.0,N/A
Crown-Commercial-Service/ccs-frontend,https://github.com/Crown-Commercial-Service/ccs-frontend,5.4.0,2024-06-04T11:41:46Z
ukgov-equality-hub/ethnicity-facts-and-figures,https://github.com/ukgov-equality-hub/ethnicity-facts-and-figures,3.15.0,undefined
UKHomeOffice/modern-slavery,https://github.com/UKHomeOffice/modern-slavery,2.7.0,N/A
SkillsFundingAgency/sfs-sitedesign,https://github.com/SkillsFundingAgency/sfs-sitedesign,2.5.1,N/A
ministryofjustice/offender-categorisation,https://github.com/ministryofjustice/offender-categorisation,5.3.0,2024-04-04T06:57:04Z
ministryofjustice/offender-management-allocation-manager,https://github.com/ministryofjustice/offender-management-allocation-manager,4.5.0,N/A
SkillsFundingAgency/das-frontend,https://github.com/SkillsFundingAgency/das-frontend,5.3.1,2024-02-06T09:05:02Z
Crown-Commercial-Service/DataSubmissionService,https://github.com/Crown-Commercial-Service/DataSubmissionService,3.15.0,undefined
hmcts/sscs-cor-frontend,https://github.com/hmcts/sscs-cor-frontend,4.8.0,undefined
UKHomeOffice/hocs-frontend,https://github.com/UKHomeOffice/hocs-frontend,4.4.1,N/A
hmcts/juror-bureau,https://github.com/hmcts/juror-bureau,4.8.0,2024-03-01T10:39:07Z
cabinetoffice/github-requests-app,https://github.com/cabinetoffice/github-requests-app,4.8.0,undefined
defra-design/fcp-farming-front-door,https://github.com/defra-design/fcp-farming-front-door,5.2.0,2024-02-19T08:39:13Z
cabinetoffice/node-web-template,https://github.com/cabinetoffice/node-web-template,4.8.0,undefined
govuk-one-login/orchestration-frontend,https://github.com/govuk-one-login/orchestration-frontend,4.8.0,2024-02-14T10:57:45Z
govuk-one-login/ipv-cri-kbv-hmrc-front,https://github.com/govuk-one-login/ipv-cri-kbv-hmrc-front,4.8.0,2024-02-19T10:07:24Z
ministryofjustice/hmpps-education-and-work-plan-ui,https://github.com/ministryofjustice/hmpps-education-and-work-plan-ui,5.3.1,2024-01-24T15:16:53Z
DFE-Digital/check-childrens-barred-list,https://github.com/DFE-Digital/check-childrens-barred-list,5.3.0,2024-02-22T16:25:29Z
uktrade/gds-technical-documentation-template,https://github.com/uktrade/gds-technical-documentation-template,4.2.0,N/A
DFE-Digital/design,https://github.com/DFE-Digital/design,5.3.1,2024-04-29T14:29:12Z
hmcts/darts-portal,https://github.com/hmcts/darts-portal,5.3.1,2024-01-17T09:38:11Z
ministryofjustice/laa-architect-info,https://github.com/ministryofjustice/laa-architect-info,4.5.0,N/A
ministryofjustice/hmpps-book-a-prison-visit-ui,https://github.com/ministryofjustice/hmpps-book-a-prison-visit-ui,5.4.0,2024-02-16T17:49:27Z
defencedigital/moduk-service-toolkit,https://github.com/defencedigital/moduk-service-toolkit,4.5.0,N/A
ministryofjustice/laa-fee-calculator-user-interface,https://github.com/ministryofjustice/laa-fee-calculator-user-interface,4.4.1,N/A
govuk-one-login/ipv-cri-cic-front,https://github.com/govuk-one-login/ipv-cri-cic-front,4.8.0,2024-02-19T13:17:36Z
ministryofjustice/hmpps-temporary-accommodation-ui,https://github.com/ministryofjustice/hmpps-temporary-accommodation-ui,4.7.0,N/A
alphagov/isf-assess-the-strength-of-your-checks-rails,https://github.com/alphagov/isf-assess-the-strength-of-your-checks-rails,2.11.0,N/A
communitiesuk/digital-form-builder,https://github.com/communitiesuk/digital-form-builder,3.2.0,N/A
DFE-Digital/refer-serious-misconduct,https://github.com/DFE-Digital/refer-serious-misconduct,5.4.0,2024-02-08T12:07:34Z
ministryofjustice/opg-performance-data,https://github.com/ministryofjustice/opg-performance-data,4.8.0,2024-02-08T16:38:18Z
UKHomeOffice/callisto-ui,https://github.com/UKHomeOffice/callisto-ui,4.2.0,N/A
dwp/HAS-assessments,https://github.com/dwp/HAS-assessments,4.3.1,N/A
defencedigital/moduk-service-manual,https://github.com/defencedigital/moduk-service-manual,4.3.1,N/A
alphagov/accessibility-monitoring-platform,https://github.com/alphagov/accessibility-monitoring-platform,5.4.0,2024-02-13T09:29:53Z
