Colour,Function,Used as,Used in,Concept
#cecece,hover,box-shadow,.govuk-checkboxes--small .govuk-checkboxes__input:focus:hover+.govuk-checkboxes__label:before,checkboxes--small
#fd0,focus,box-shadow,.govuk-checkboxes--small .govuk-checkboxes__input:focus:hover+.govuk-checkboxes__label:before,checkboxes--small
#0b0c0c,surface-text,color,.govuk-cookie-banner,cookie-banner
#f4f8fb,surface-background,background-color,.govuk-cookie-banner,cookie-banner
#0b0c0c,input-border,border-color,.govuk-input,input
#fd0,focus,outline-color,.govuk-input:focus,input
#0b0c0c,input-border,box-shadow,.govuk-input:focus,input
#ca3535,error,border-color,.govuk-input--error,input--error
#0b0c0c,input-border,border-color,.govuk-input--error:focus,input--error
#0b0c0c,input-border,border-color,".govuk-input__prefix,
.govuk-input__suffix","input__prefix,"
#f3f3f3,,background-color,".govuk-input__prefix,
.govuk-input__suffix","input__prefix,"
#0b0c0c,text,color,.govuk-details,details
#cecece,border,border-left-color,.govuk-details,details
#1a65a6,link,color,.govuk-details__summary,details__summary
#0f385c,link-hover,color,.govuk-details__summary:hover,details__summary
#0b0c0c,focus-text,color,.govuk-details__summary:focus,details__summary
#fd0,focus,background-color,.govuk-details__summary:focus,details__summary
#fd0,focus,box-shadow,.govuk-details__summary:focus,details__summary
#0b0c0c,focus-text,box-shadow,.govuk-details__summary:focus,details__summary
#cecece,border,border-left-color,.govuk-details__text,details__text
#ca3535,error,border-color,.govuk-error-summary,error-summary
#0b0c0c,text,color,.govuk-error-summary,error-summary
#fd0,focus,outline-color,.govuk-error-summary:focus,error-summary
#fd0,focus,background-color,.govuk-error-summary__list a:focus,error-summary__list
#fd0,focus,box-shadow,.govuk-error-summary__list a:focus,error-summary__list
#0b0c0c,focus-text,box-shadow,.govuk-error-summary__list a:focus,error-summary__list
#ca3535,error,color,".govuk-error-summary__list a:link,
.govuk-error-summary__list a:visited",error-summary__list
#651b1b,,color,.govuk-error-summary__list a:hover,error-summary__list
#ca3535,error,color,.govuk-error-summary__list a:active,error-summary__list
#0b0c0c,focus-text,color,.govuk-error-summary__list a:focus,error-summary__list
#fff,,background-color,.govuk-exit-this-page-overlay,exit-this-page-overlay
#0b0c0c,text,color,.govuk-file-upload,file-upload
#fd0,focus,outline-color,.govuk-file-upload:focus,file-upload
#0b0c0c,input-border,box-shadow,.govuk-file-upload:focus,file-upload
#fd0,focus,outline-color,.govuk-file-upload:focus-within,file-upload
#0b0c0c,input-border,box-shadow,.govuk-file-upload:focus-within,file-upload
#fff,body-background,background-color,".govuk-drop-zone,
.govuk-file-upload-wrapper","drop-zone,"
#fff,,color,.govuk-file-upload-button__status,file-upload-button__status
#1d70b8,,background-color,.govuk-file-upload-button__status,file-upload-button__status
#cecece,,border,.govuk-file-upload-button,file-upload-button
#fff,,background-color,.govuk-file-upload-button,file-upload-button
#ca3535,error,border-color,.govuk-form-group--error .govuk-file-upload-button,form-group--error
#f3f3f3,,background-color,.govuk-file-upload-button .govuk-file-upload-button__pseudo-button,file-upload-button
#858686,,border-color,.govuk-file-upload-button:hover,file-upload-button
#cecece,,background-color,.govuk-file-upload-button:hover .govuk-file-upload-button__pseudo-button,file-upload-button
#1d70b8,,background-color,.govuk-file-upload-button:hover .govuk-file-upload-button__status,file-upload-button
#0b0c0c,,border,".govuk-file-upload-button:active,
.govuk-file-upload-button:focus",file-upload-button
#fd0,focus,outline-color,".govuk-file-upload-button:active,
.govuk-file-upload-button:focus",file-upload-button
#f3f3f3,,background-color,".govuk-file-upload-button:active,
.govuk-file-upload-button:focus",file-upload-button
#fd0,focus,background-color,".govuk-file-upload-button:active .govuk-file-upload-button__pseudo-button,
.govuk-file-upload-button:focus .govuk-file-upload-button__pseudo-button",file-upload-button
#0b0c0c,,box-shadow,".govuk-file-upload-button:active .govuk-file-upload-button__pseudo-button,
.govuk-file-upload-button:focus .govuk-file-upload-button__pseudo-button",file-upload-button
#fd0,focus,border-color,".govuk-file-upload-button:active:hover .govuk-file-upload-button__pseudo-button,
.govuk-file-upload-button:focus:hover .govuk-file-upload-button__pseudo-button",file-upload-button
#cecece,,background-color,".govuk-file-upload-button:active:hover .govuk-file-upload-button__pseudo-button,
.govuk-file-upload-button:focus:hover .govuk-file-upload-button__pseudo-button",file-upload-button
#fd0,focus,box-shadow,".govuk-file-upload-button:active:hover .govuk-file-upload-button__pseudo-button,
.govuk-file-upload-button:focus:hover .govuk-file-upload-button__pseudo-button",file-upload-button
#fff,,background-color,.govuk-file-upload-button--empty,file-upload-button--empty
#f3f3f3,,background-color,.govuk-file-upload-button--empty .govuk-file-upload-button__pseudo-button,file-upload-button--empty
#0b0c0c,,color,.govuk-file-upload-button--empty .govuk-file-upload-button__status,file-upload-button--empty
#d2e2f1,,background-color,.govuk-file-upload-button--empty .govuk-file-upload-button__status,file-upload-button--empty
